major_description,minor_description,item,description,size_,ext_description,Vendor SKU
Decking-Composite,Timbertech Decking,ttcdcresalg20,Reserve Deck - Grooved - Antique Leather,"0.94"" x 5.36"" x 20'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresalr12,Reserve Riser - Antique Leather,"9/16"" x 7-1/4"" x 12'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresals16,Reserve Deck - Square - Antique Leather,"0.94"" x 5.36"" x 16'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresals20,Reserve Deck - Square - Antique Leather,"0.94"" x 5.36"" x 20'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresdrf12,Reserve Fascia - Dark Roast,"1/2"" x 11-3/4"" x 12'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresdrg12,Reserve Deck - Grooved - Dark Roast,"0.94"" x 5.36"" x 12'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresdrg16,Reserve Deck - Grooved - Dark Roast,"0.94"" x 5.36"" x 16'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresdrg20,Reserve Deck - Grooved - Dark Roast,"0.94"" x 5.36"" x 20'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresdrr12,Reserve Riser - Dark Roast,"9/16"" x 7-1/4"" x 12'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresdrs16,Reserve Deck - Square - Dark Roast,"0.94"" x 5.36"" x 16'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresdrs20,Reserve Deck - Square - Dark Roast,"0.94"" x 5.36"" x 20'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresdwf12,Reserve Fascia - Driftwood,"1/2"" x 11-3/4"" x 12'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresdwg12,Reserve Deck - Grooved - Driftwood,"0.94"" x 5.36"" x 12'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresdwg16,Reserve Deck - Grooved - Driftwood,"0.94"" x 5.36"" x 16'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresdwg20,Reserve Deck - Grooved - Driftwood,"0.94"" x 5.36"" x 20'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresdwr12,Reserve Riser - Driftwood,"9/16"" x 7-1/4"" x 12'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresdws16,Reserve Deck - Square - Driftwood,"0.94"" x 5.36"" x 16'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresdws20,Reserve Deck - Square - Driftwood,"0.94"" x 5.36"" x 20'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresrechef12,Reserve Fascia - Reclaimed Chestnut,"1/2"" x 11-3/4"" x 12'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresrecheg12,Reserve Deck - Grvd - Reclaimed Chestnut,"0.94"" x 5.36"" x 12'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresrecheg16,Reserve Deck - Grvd - Reclaimed Chestnut,"0.94"" x 5.36"" x 16'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresrecheg20,Reserve Deck - Grvd - Reclaimed Chestnut,"0.94"" x 5.36"" x 20'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresrecher12,Reserve Riser - Reclaimed Chestnut,"9/16"" x 7-1/4"" x 12'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresreches16,Reserve Deck - Sq - Reclaimed Chestnut,"0.94"" x 5.36"" x 16'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcresreches20,Reserve Deck - Sq - Reclaimed Chestnut,"0.94"" x 5.36"" x 20'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcressgf12,Reserve Fascia - Storm Gray,"1/2"" x 11-3/4"" x 12'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcressgg12,Reserve Deck - Grooved - Storm Gray,"0.94"" x 5.36"" x 12'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcressgg16,Reserve Deck - Grooved - Storm Gray,"0.94"" x 5.36"" x 16'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcressgg20,Reserve Deck - Grooved - Storm Gray,"0.94"" x 5.36"" x 20'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcressgr12,Reserve Riser - Storm Gray,"9/16"" x 7-1/4"" x 12'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcressgs16,Reserve Deck - Square - Storm Gray,"0.94"" x 5.36"" x 16'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcdcressgs20,Reserve Deck - Square - Storm Gray,"0.94"" x 5.36"" x 20'",TimberTech Reserve,
Decking-Composite,Timbertech Decking,ttcfdcag100lf,Cortex Set-Antigua Gold 100 LF,,TimberTech,
Decking-Composite,Timbertech Decking,ttcfdcam100lf,Cortex Set-Amazon Mist 100 LF,,TimberTech,
Decking-Composite,Timbertech Decking,ttcfdcaw100lf,Cortex Set-Ashwood 100 LF,,TimberTech,
Decking-Composite,Timbertech Decking,ttcfdcaw100lf-P,Cortex Set-Ashwood 100 LF,,TimberTech,
Decking-Composite,Timbertech Decking,ttcfdccr100lf,Cortex Set-Caribbean Redwood 100 LF,,TimberTech,
Decking-Composite,Timbertech Decking,ttcfdces100lf,Cortex Set-Espresso 100 LF,,TimberTech,
Decking-Composite,Timbertech Decking,ttcfdcmc100lf,Cortex Set-Mocha 100 LF,,TimberTech,
Decking-Composite,Timbertech Decking,ttcfdcpe100lf,Cortex Set-Pecan 100 LF,,TimberTech,
Decking-Composite,Timbertech Decking,ttcfdcsp100lf,Cortex Set-Sapele 100 LF,,TimberTech,
Decking-Composite,Timbertech Decking,ttcfdctw100lf,Cortex Set-Tigerwood 100 LF,,TimberTech,
Decking-Composite,Timbertech Decking,ttcfdcwc100lf,Cortex Set-Whitewash Cedar 100 LF,,TimberTech,
Decking-Composite,Timbertech Decking,ttcfdtlcd100sf,TopLoc-Cedar 100 SF (350ea),"#8 x 2-1/2""",TimberTech,
Decking-Composite,Timbertech Decking,ttcfdtlcd500sf,TopLoc-Cedar 500 SF (1750ea),"#8 x 2-1/2""",TimberTech,
Decking-Composite,Timbertech Decking,ttcfdtldr100sf,TopLoc-Dark Red 100 SF (350ea),"#8 x 2-1/2""",TimberTech,
Decking-Composite,Timbertech Decking,ttcfdtldr500sf,TopLoc-Dark Red 500 SF (1750ea),"#8 x 2-1/2""",TimberTech,
Decking-Composite,Timbertech Decking,ttcfdtlfcd100,TopLoc Fascia-Cedar 30 LF (100ea),"#8 x 1-3/4""",TimberTech,
Decking-Composite,Timbertech Decking,ttcfdtlfdr100,TopLoc Fascia-Dark Red 30 LF (100ea),"#8 x 1-3/4""",TimberTech,
Decking-Composite,Timbertech Decking,ttclegawf12,Legacy Fascia-Ashwood,1/2x12-12',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegawg12,Legacy Decking-Ashwood-Grooved,5/4x6-12',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegawg12-P,Legacy Decking-Ashwood-Grooved,5/4x6-12',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegawg16,Legacy Decking-Ashwood-Grooved,5/4x6-16',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegawg16-P,Legacy Decking-Ashwood-Grooved,5/4x6-16',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegawg20,Legacy Decking-Ashwood-Grooved,5/4x6-20',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegawr12,Legacy Riser-Ashwood,1/2x7-1/4-12',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegaws16,Legacy Decking-Ashwood-Square,5/4x6-16',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegaws20,Legacy Decking-Ashwood-Square,5/4x6-20',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegesf12,Legacy Fascia-Espresso,1/2x12-12',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegesg12,Legacy Decking-Espresso-Grooved,5/4x6-12',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegesg16,Legacy Decking-Espresso-Grooved,5/4x6-16',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegesg20,Legacy Decking-Espresso-Grooved,5/4x6-20',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegesr12,Legacy Riser-Espresso,1/2x7-1/4-12',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegess16,Legacy Decking-Espresso-Square,5/4x6-16',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegess20,Legacy Decking-Espresso-Square,5/4x6-20',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegmcf12,Legacy Fascia-Mocha,1/2x12-12',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegmcg12,Legacy Decking-Mocha-Grooved,5/4x6-12',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegmcg16,Legacy Decking-Mocha-Grooved,5/4x6-16',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegmcg20,Legacy Decking-Mocha-Grooved,5/4x6-20',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegmcr12,Legacy Riser-Mocha,1/2x7-1/4-12',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegmcs16,Legacy Decking-Mocha-Square,5/4x6-16',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegmcs20,Legacy Decking-Mocha-Square,5/4x6-20',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegpef12,Legacy Fascia-Pecan,1/2x12-12',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegpeg12,Legacy Decking-Pecan-Grooved,5/4x6-12',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegpeg16,Legacy Decking-Pecan-Grooved,5/4x6-16',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegpeg20,Legacy Decking-Pecan-Grooved,5/4x6-20',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegper12,Legacy Riser-Pecan,1/2x7-1/4-12',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegpes16,Legacy Decking-Pecan-Square,5/4x6-16',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegpes20,Legacy Decking-Pecan-Square,5/4x6-20',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegtwf12,Legacy Fascia-Tigerwood,1/2x12-12',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegtwg12,Legacy Decking-Tigerwood-Grooved,5/4x6-12',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegtwg16,Legacy Decking-Tigerwood-Grooved,5/4x6-16',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegtwg20,Legacy Decking-Tigerwood-Grooved,5/4x6-20',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegtwr12,Legacy Riser-Tigerwood,1/2x7-1/4-12',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegtws16,Legacy Decking-Tigerwood-Square,5/4x6-16',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegtws20,Legacy Decking-Tigerwood-Square,5/4x6-20',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegwcf12,Legacy Fascia-Whitewash Cedar,1/2x12-12',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegwcg12,Legacy Decking-Whitewash Cedar-Grooved,5/4x6-12',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegwcg16,Legacy Decking-Whitewash Cedar-Grooved,5/4x6-16',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegwcg20,Legacy Decking-Whitewash Cedar-Grooved,5/4x6-20',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegwcr12,Legacy Riser-Whitewash Cedar,1/2x7-1/4-12',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegwcs16,Legacy Decking-Whitewash Cedar-Square,5/4x6-16',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttclegwcs20,Legacy Decking-Whitewash Cedar-Square,5/4x6-20',TimberTech Legacy,
Decking-Composite,Timbertech Decking,ttcrix22bktk,Impression Xpress 22.5 Angle Bracket Kit,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrix36gatebl,"Impression Xpress Gate Kit-Black 36""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrix36gatebz,"Impression Xpress Gate Kit-Bronze 36""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrix36gatewh,"Impression Xpress Gate Kit-White 36""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrix36kbz6,Impression Xpress Alum. Rail-Bronze 6',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrix36kbz8,Impression Xpress Alum. Rail-Bronze 8',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrix36kwh6,Impression Xpress Alum. Rail-White 6',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrix36kwh8,Impression Xpress Alum. Rail-White 8',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrix36stkbz6,Impression Xpress Alum. Stair-Bronze 6',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrix36stkbz8,Impression Xpress Alum. Stair-Bronze 8',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrix36stkwh6,Impression Xpress Alum. Stair-White 6',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrix3pbz38,"Impression Xpress Alum. Post-Bronze 38""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrix3pbz38-P,"Impression Xpress Alum. Post-Bronze 38""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrix3pbz43,"Impression Xpress Alum. Post-Bronze 43""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrix3pbz43-P,"Impression Xpress Alum. Post-Bronze 43""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrix3pwh38,"Impression Xpress Alum. Post-White 38""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrix3pwh43,"Impression Xpress Alum. Post-White 43""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrix45wmk,Impression Xpress Angle Wall Mount Kit,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrixacckbl,Impression Xpress Accessory Kit-Black,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrixacckbz,Impression Xpress Accessory Kit-Bronze,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrixacckwh,Impression Xpress Accessory Kit-White,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrixbktk,Impression Xpress Extra Bracket Kit,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrixwmkbl,Impression Xpress Wall Mount Kit-Black,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrixwmkbz,Impression Xpress Wall Mount Kit-Bronze,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrixwmkwh,Impression Xpress Wall Mount Kit-White,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrr5pcbl,Post Cap-Black,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrr5pcbs,Post Cap-Brownstone,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrr5pcko,Post Cap-Kona,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrr5pcsg,Post Cap-Slate Gray,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrr5psbl,Post Skirt-Black,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrr5psbs,Post Skirt-Brownstone,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrr5psko,Post Skirt-Kona,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrr5pssg,Post Skirt-Slate Gray,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrr5pswh,Post Skirt-White,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrr5slbl144,"Post Sleeve-Black 144""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrr5slbl42,"Post Sleeve-Black 42""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrr5slbs144,"Post Sleeve-Brownstone 144""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrr5slbs42,"Post Sleeve-Brownstone 42""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrr5slko144,"Post Sleeve-Kona 144""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrr5slko42,"Post Sleeve-Kona 42""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrr5slsg144,"Post Sleeve-Slate Gray 144""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrr5slsg42,"Post Sleeve-Slate Gray 42""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrr5slwh144,"Post Sleeve-White 144""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrr5slwh42,"Post Sleeve-White 42""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrbalbl30,"Radiance Rail Exp. Baluster Pk-Black 30""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrbalbl36,"Radiance Rail Exp. Baluster Pk-Black 36""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrbalko30,"Radiance Rail Exp. Baluster Pk-Kona 30""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrbalko36,"Radiance Rail Exp. Baluster Pk-Kona 36""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrbalwh30,"Radiance Rail Exp. Baluster Pk-White 30""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrbalwh36,"Radiance Rail Exp. Baluster Pk-White 36""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrbl6,Radiance Rail Pack-Black 6',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrbl8,Radiance Rail Pack-Black 8',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrbs6,Radiance Rail Pack-Brownstone 6',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrbs8,Radiance Rail Pack-Brownstone 8',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrcrbl6,Radiance Custom Rail Pack-Black 6',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrcrbl8,Radiance Custom Rail Pack-Black 8',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrcrbs6,Radiance Custom Rail Pack-Brownstone 6',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrcrbs8,Radiance Custom Rail Pack-Brownstone 8',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrcrko6,Radiance Custom Rail Pack-Kona 6',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrcrko8,Radiance Custom Rail Pack-Kona 8',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrcrsg6,Radiance Custom Rail Pack-Slate Gray 6',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrcrsg8,Radiance Custom Rail Pack-Slate Gray 8',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrcrwh6,Radiance Custom Rail Pack-White 6',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrcrwh8,Radiance Custom Rail Pack-White 8',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrko6,Radiance Rail Pack-Kona 6',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrko8,Radiance Rail Pack-Kona 8',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrsg6,Radiance Rail Pack-Slate Gray 6',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrsg8,Radiance Rail Pack-Slate Gray 8',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrwh6,Radiance Rail Pack-White 6',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrwh8,Radiance Rail Pack-White 8',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrx4icbl,"Island Cap-Black 4""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrx4icko,"Island Cap-Kona 4""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrx4pcbl,"Post Cap-Black 4""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrx4pcko,"Post Cap-Kona 4""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrx4pcwh,"Post Cap-White 4""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrx4psbl,"Post Skirt-Black 4""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrx4psko,"Post Skirt-Kona 4""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrx4slbl39,"Post Sleeve-Black  4""x4""-39""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrx4slko39,"Post Sleeve-Kona  4""x4""-39""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrx4slko96,"Post Sleeve-Kona  4""x4""-96""",,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrxbl6,Radiance Rail Exp. Pack-Black 6',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrxbl8,Radiance Rail Exp. Pack-Black 8',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrxgskbl,Gasket Pack-Black,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrxgskko,Gasket Pack-Kona,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrxgskwh,Gasket Pack-White,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrxhdwbl,Mounting Hardware-Black,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrxhdwko,Mounting Hardware-Kona,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrxhdwwh,Mounting Hardware-White,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrxko6,Radiance Rail Exp. Pack-Kona 6',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrxko8,Radiance Rail Exp. Pack-Kona 8',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrxstbl8,Radiance Rail Exp. Stair Pack-Black 8',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrxsthdwbl,Stair Mounting Hardware-Black,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrxsthdwko,Stair Mounting Hardware-Kona,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrxsthdwwh,Stair Mounting Hardware-White,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrxstko8,Radiance Rail Exp. Stair Pack-Kona,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrxstwh8,Radiance Rail Exp. Stair Pack-White,,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrxwh6,Radiance Rail Exp. Pack-White 6',,TimberTech,
Decking-Composite,Timbertech Decking,ttcrrxwh8,Radiance Rail Exp. Pack-White 8',,TimberTech,
Decking-Composite,Timbertech Decking,ttcterbof12,Terrain Fascia-Brown Oak,1/2x12-12',TimberTech Terrain,
Decking-Composite,Timbertech Decking,ttcterbog12,Terrain Decking-Brown Oak-Grooved,5/4x6-12',TimberTech Terrain,
Decking-Composite,Timbertech Decking,ttcterbog16,Terrain Decking-Brown Oak-Grooved,5/4x6-16',TimberTech Terrain,
Decking-Composite,Timbertech Decking,ttcterbog20,Terrain Decking-Brown Oak-Grooved,5/4x6-20',TimberTech Terrain,
Decking-Composite,Timbertech Decking,ttcterbor12,Terrain Riser-Brown Oak,1/2x7-1/4-12',TimberTech Terrain,
Decking-Composite,Timbertech Decking,ttcterbos16,Terrain Decking-Brown Oak-Square,5/4x6-16',TimberTech Terrain,
Decking-Composite,Timbertech Decking,ttcterbos20,Terrain Decking-Brown Oak-Square,5/4x6-20',TimberTech Terrain,
Decking-Composite,Timbertech Decking,ttcterdof12,Terrain+ Fascia-Dark Oak,1/2x12-12',**Special Order Product - No Returns** ,
Decking-Composite,Timbertech Decking,ttcterdog12,Terrain+ Decking-Dark Oak-Grooved,5/4x6-12',**Special Order Product - No Returns** ,
Decking-Composite,Timbertech Decking,ttcterdog16,Terrain+ Decking-Dark Oak-Grooved,5/4x6-16',**Special Order Product - No Returns** ,
Decking-Composite,Timbertech Decking,ttcterdog20,Terrain+ Decking-Dark Oak-Grooved,5/4x6-20',**Special Order Product - No Returns** ,
Decking-Composite,Timbertech Decking,ttcterdor12,Terrain+ Riser-Dark Oak,1/2x7-1/4-12',**Special Order Product - No Returns**  ,
Decking-Composite,Timbertech Decking,ttcterdos16,Terrain+ Decking-Dark Oak-Square,5/4x6-16',**Special Order Product - No Returns** ,
Decking-Composite,Timbertech Decking,ttcterdos20,Terrain+ Decking-Dark Oak-Square,5/4x6-20',**Special Order Product - No Returns** ,
Decking-Composite,Timbertech Decking,ttcternwof12,Terrain+ Fascia-Natural White Oak,1/2x12-12', ,
Decking-Composite,Timbertech Decking,ttcternwog12,Terrain+ Decking-Natural White Oak-Groov,5/4x6-12', ,
Decking-Composite,Timbertech Decking,ttcternwog16,Terrain+ Decking-Natural White Oak-Groov,5/4x6-16',   ,
Decking-Composite,Timbertech Decking,ttcternwog20,Terrain+ Decking-Natural White Oak-Groov,5/4x6-20', ,
Decking-Composite,Timbertech Decking,ttcternwor12,Terrain+ Riser-Natural White Oak,1/2x7-1/4-12',  ,
Decking-Composite,Timbertech Decking,ttcternwos16,Terrain+ Decking-Natural White Oak-Sq,5/4x6-16',  ,
Decking-Composite,Timbertech Decking,ttcternwos20,Terrain+ Decking-Natural White Oak-Sq,5/4x6-20', ,
Decking-Composite,Timbertech Decking,ttctersmf12,Terrain Fascia-Silver Maple,1/2x12-12',TimberTech Terrain,
Decking-Composite,Timbertech Decking,ttctersmg12,Terrain Decking-Silver Maple-Grooved,5/4x6-12',TimberTech Terrain,
Decking-Composite,Timbertech Decking,ttctersmg16,Terrain Decking-Silver Maple-Grooved,5/4x6-16',TimberTech Terrain,
Decking-Composite,Timbertech Decking,ttctersmg20,Terrain Decking-Silver Maple-Grooved,5/4x6-20',TimberTech Terrain,
Decking-Composite,Timbertech Decking,ttctersmr12,Terrain Riser-Silver Maple,1/2x7-1/4-12',TimberTech Terrain,
Decking-Composite,Timbertech Decking,ttctersms16,Terrain Decking-Silver Maple-Square,5/4x6-16',TimberTech Terrain,
Decking-Composite,Timbertech Decking,ttctersms20,Terrain Decking-Silver Maple-Square,5/4x6-20',TimberTech Terrain,
Decking-Composite,Timbertech Decking,ttcterwof12,Terrain+ Fascia-Weathered Oak,1/2x12-12',**Special Order Product - No Returns** ,
Decking-Composite,Timbertech Decking,ttcterwog12,Terrain+ Decking-Weathered Oak-Grooved,5/4x6-12',**Special Order Product - No Returns** ,
Decking-Composite,Timbertech Decking,ttcterwog16,Terrain+ Decking-Weathered Oak-Grooved,5/4x6-16',**Special Order Product - No Returns** ,
Decking-Composite,Timbertech Decking,ttcterwog20,Terrain+ Decking-Weathered Oak-Grooved,5/4x6-20',**Special Order Product - No Returns** ,
Decking-Composite,Timbertech Decking,ttcterwor12,Terrain+ Riser-Weathered Oak,1/2x7-1/4-12',**Special Order Product - No Returns** ,
Decking-Composite,Timbertech Decking,ttcterwos16,Terrain+ Decking-Weathered Oak-Square,5/4x6-16',**Special Order Product - No Returns** ,
Decking-Composite,Timbertech Decking,ttcterwos20,Terrain+ Decking-Weathered Oak-Square,5/4x6-20',**Special Order Product - No Returns**  ,
Decking-Composite,Timbertech Decking,ttctrocrr12,Riser-Caribbean Redwood,1/2x7-1/4-12',TimberTech Tropical,
Decking-Composite,Timbertech Decking,ttimp38post3x3bk,"Imp. Rail Xpress 3""x3""-38"" Post Black",TimberTech 94674,With Cap and Skirt ,
